P8PL1;A06;p8_29;neutral;down;;P8PL1;F02;P8_75;neutral;neutral
P8PL1;A07;p8_30;neutral;neutral;;P8PL1;F03;P8_76;down;down
P8PL1;A08;p8_31;neutral;down;;P8PL1;F04;P8_77;neutral;neutral
P8PL1;A09;p8_32;neutral;neutral;;P8PL1;F05;P8_78;neutral;up
P8PL1;A10;p8_33;down;down;;P8PL1;F06;P8_79;neutral;down
P8PL1;A11;p8_34;neutral;neutral;;P8PL1;F07;P8_80;neutral;neutral
P8PL1;B02;p8_35;neutral;neutral;;P8PL1;F08;P8_81;up;up
P8PL1;B03;p8_36;down;down;;P8PL1;F09;P8_82;down;neutral
P8PL1;B04;p8_37;neutral;neutral;;P8PL1;F10;P8_83;down;neutral
P8PL1;B05;p8_38;neutral;neutral;;P8PL1;F11;P8_84;neutral;down
P8PL1;B06;p8_39;neutral;neutral;;P8PL1;G02;p8_85;neutral;neutral
P8PL1;B07;p8_40;down;neutral;;P8PL1;G03;p8_86;neutral;neutral
P8PL1;B08;p8_41;neutral;neutral;;P8PL1;G04;p8_87;down;down
P8PL1;B09;p8_42;neutral;neutral;;P8PL1;G05;p8_88;neutral;neutral
P8PL1;B10;p8_43;down;neutral;;P8PL1;G06;p8_89;neutral;neutral
P8PL1;B11;p8_44;down;down;;P8PL1;G07;p8_90;down;down
P8PL1;C02;p8_45;down;down;;P8PL1;G08;p8_91;up;up
P8PL1;C03;p8_46;neutral;neutral;;P8PL1;G09;p8_92;neutral;down
P8PL1;C04;p8_47;neutral;neutral;;P8PL1;G10;p8_93;neutral;down
P8PL1;C05;p8_48;neutral;neutral;;P8PL1;G11;p8_94;neutral;down
P8PL1;C06;p8_49;neutral;up;;P8PL1;H02;p8_95;down;neutral
P8PL1;C07;p8_50;down;neutral;;P8PL1;H03;p8_96;down;neutral
P8PL1;C08;p8_51;neutral;up;;P8PL1;H04;p8_97;neutral;neutral
P8PL1;C09;p8_52;neutral;neutral;;P8PL1;H05;p8_98;neutral;neutral
P8PL1;C10;p8_53;down;neutral;;P8PL1;H06;p8_99;down;down
P8PL1;C11;p8_54;neutral;down;;P8PL1;H07;p8_100;neutral;neutral
P8PL1;D02;p8_55;neutral;neutral;;P8PL1;H08;p8_101;down;down
P8PL1;D03;p8_56;neutral;neutral;;P8PL1;H09;p8_102;neutral;up
P8PL1;D04;p8_57;neutral;down;;P8PL1;H10;p8_103;neutral;neutral
P8PL1;D05;p8_58;neutral;neutral;;P8PL1;H11;p8_104;neutral;neutral
P8PL1;D06;p8_59;down;down;;;;;;
P8PL1;D07;p8_60;neutral;up;;;;;;
P8PL1;D08;p8_61;down;neutral;;P8PL1;;;;
P8PL1;D09;p8_62;neutral;up;;;;;;
P8PL1;D10;p8_63;neutral;neutral;;;;;;
P8PL1;D11;p8_64;neutral;neutral;;;;;;
P8PL1;E02;p8_65;down;neutral;;;;;;
P8PL1;E03;p8_66;neutral;neutral;;;;;;
P8PL1;E04;p8_67;neutral;down;;;;;;
P8PL1;E05;p8_68;neutral;neutral;;;;;;
P8PL1;E06;p8_69;neutral;down;;;;;;
P8PL1;E07;p8_70;down;down;;;;;;
plate;well;iso_id;mKate;eGFP;;plate;well;iso_id;mKate;eGFP
P8PL2;A02;p8_105;down;down;;P8PL2;E08;p8_151;neutral;up
P8PL2;A03;p8_106;down;down;;P8PL2;E09;p8_152;neutral;up
P8PL2;A04;p8_107;down;neutral;;P8PL2;E10;p8_153;neutral;down
P8PL2;A05;p8_108;neutral;neutral;;P8PL2;E11;p8_154;down;neutral
P8PL2;A06;p8_109;neutral;neutral;;P8PL2;F02;p8_155;neutral;neutral
P8PL2;A07;p8_110;neutral;neutral;;P8PL2;F03;p8_156;down;neutral
P8PL2;A08;p8_111;neutral;up;;P8PL2;F04;p8_157;down;neutral
P8PL2;A09;p8_112;down;down;;P8PL2;F05;p8_158;neutral;neutral
P8PL2;A10;p8_113;neutral;neutral;;P8PL2;F06;p8_159;down;neutral
P8PL2;A11;p8_114;neutral;neutral;;P8PL2;F07;p8_160;up;up
P8PL2;B02;p8_115;neutral;neutral;;P8PL2;F08;p8_161;neutral;up
P8PL2;B03;p8_116;neutral;neutral;;P8PL2;F09;p8_162;up;up
P8PL2;B04;p8_117;down;down;;P8PL2;F10;p8_163;down;neutral
P8PL2;B05;p8_118;neutral;up;;P8PL2;F11;p8_164;neutral;neutral
P8PL2;B06;p8_119;down;neutral;;P8PL2;G02;p8_165;up;neutral
P8PL2;B07;p8_120;neutral;neutral;;P8PL2;G03;p8_166;neutral;neutral
P8PL2;B08;p8_121;down;neutral;;P8PL2;G04;p8_167;neutral;up
P8PL2;B09;p8_122;neutral;up;;P8PL2;G05;p8_168;down;down
P8PL2;B10;p8_123;neutral;neutral;;P8PL2;G06;p8_169;neutral;neutral
P8PL2;B11;p8_124;neutral;up;;P8PL2;G07;p8_170;neutral;neutral
P8PL2;C02;p8_125;down;down;;P8PL2;G08;p8_171;neutral;neutral
P8PL2;C03;p8_126;down;neutral;;P8PL2;G09;p8_172;down;down
P8PL2;C04;p8_127;down;neutral;;P8PL2;G10;p8_173;down;down
P8PL2;C05;p8_128;up;up;;P8PL2;G11;p8_174;neutral;neutral
P8PL2;C06;p8_129;neutral;neutral;;P8PL2;H02;p8_175;down;neutral
P8PL2;C07;p8_130;neutral;neutral;;P8PL2;H03;p8_176;neutral;neutral
P8PL2;C08;p8_131;neutral;up;;P8PL2;H04;p8_177;neutral;neutral
P8PL2;C09;p8_132;neutral;up;;P8PL2;H05;p8_178;up;up
P8PL2;C10;p8_133;down;down;;P8PL2;H06;p8_179;down;down
P8PL2;C11;p8_134;down;neutral;;P8PL2;H07;p8_180;neutral;neutral
P8PL2;D02;p8_135;neutral;neutral;;P8PL2;H08;p8_181;neutral;up
P8PL2;D03;p8_136;neutral;up;;P8PL2;H09;p8_182;down;down
P8PL2;D04;p8_137;neutral;neutral;;P8PL2;H10;p8_183;down;down
P8PL2;D05;p8_138;down;neutral;;P8PL2;H11;p8_184;neutral;neutral
P8PL2;D06;p8_139;neutral;up;;;;;;
P8PL2;D07;p8_140;down;neutral;;;;;;
P8PL2;D08;p8_141;down;down;;P8PL2;;;;
P8PL2;D09;p8_142;neutral;up;;;;;;
P8PL2;D10;p8_143;neutral;neutral;;;;;;
P8PL2;D11;p8_144;neutral;neutral;;;;;;
P8PL2;E02;p8_145;neutral;up;;;;;;
P8PL2;E03;p8_146;neutral;neutral;;;;;;
P8PL2;E04;p8_147;neutral;neutral;;;;;;
P8PL2;E05;p8_148;up;up;;;;;;
P8PL2;E06;p8_149;neutral;neutral;;;;;;
P8PL2;E07;p8_150;neutral;up;;;;;;
plate;well;iso_id;mKate;eGFP;;plate;well;iso_id;mKate;eGFP
P8PL3;A02;p8_185;neutral;neutral;;P8PL3;E08;p8_231;neutral;neutral
P8PL3;A03;p8_186;down;down;;P8PL3;E09;p8_232;neutral;neutral
P8PL3;A04;p8_187;down;down;;P8PL3;E10;p8_233;neutral;down
P8PL3;A05;p8_188;down;down;;P8PL3;E11;p8_234;neutral;neutral
P8PL3;A06;p8_189;down;down;;P8PL3;F02;p8_235;neutral;neutral
P8PL3;A07;p8_190;neutral;up;;P8PL3;F03;p8_236;neutral;neutral
P8PL3;A08;p8_191;neutral;up;;P8PL3;F04;p8_237;neutral;down
P8PL3;A09;p8_192;neutral;down;;P8PL3;F05;p8_238;neutral;neutral
P8PL3;A10;p8_193;neutral;down;;P8PL3;F06;p8_239;up;up
P8PL3;A11;p8_194;neutral;neutral;;P8PL3;F07;p8_240;neutral;down
