 ,Label,Area,Mean,StdDev,IntDen,RawIntDen
32,0.1xlbgm_bslini_co-02.czi:0001-0714:c:2/3 - 0.1xlbgm_bslini_co-02.czi #1,37940060.351,2053.300,152.837,77902338890.155,363963912.000
33,0.1xlbgm_bslini_co-03.czi:0001-0704:c:1/3 - 0.1xlbgm_bslini_co-03.czi #1,47905699.194,4020.379,1332.243,192599053744.474,899833125.000
34,0.1xlbgm_bslini_co-03.czi:0001-0704:c:2/3 - 0.1xlbgm_bslini_co-03.czi #1,47905699.194,2219.474,164.962,106325441241.824,496758173.000
35,0.1xlbgm_bslini_co.czi:0001-0734:c:1/3 - 0.1xlbgm_bslini_co.czi #1,33864550.704,3933.054,933.597,133191118863.331,622276062.000
36,0.1xlbgm_bslini_co.czi:0001-0734:c:2/3 - 0.1xlbgm_bslini_co.czi #1,33864550.704,2114.265,167.636,71598620486.663,334512601.000
37,0.1xlbgm_bspoae_bs-02.czi:0001-0723:c:1/3 - 0.1xlbgm_bspoae_bs-02.czi #1,50129560.611,3512.617,591.797,176085953153.631,822683032.000
38,0.1xlbgm_bspoae_bs-02.czi:0001-0723:c:2/3 - 0.1xlbgm_bspoae_bs-02.czi #1,50129560.611,1941.627,106.296,97332894378.715,454744511.000
39,0.1xlbgm_bspoae_bs-03.czi:0001-0732:c:1/3 - 0.1xlbgm_bspoae_bs-03.czi #1,39972785.267,3695.226,680.517,147708489403.935,690101997.000
40,0.1xlbgm_bspoae_bs-03.czi:0001-0732:c:2/3 - 0.1xlbgm_bspoae_bs-03.czi #1,39972785.267,2226.440,107.769,88996996857.762,415798750.000
41,0.1xlbgm_bspoae_bs.czi:0001-0737:c:1/3 - 0.1xlbgm_bspoae_bs.czi #1,40600346.545,3581.059,626.520,145392218946.711,679280257.000
42,0.1xlbgm_bspoae_bs.czi:0001-0737:c:2/3 - 0.1xlbgm_bspoae_bs.czi #1,40600346.545,1884.823,113.253,76524466247.953,357526417.000
43,0.1xlbgm_bspoae_co-02.czi:0001-0731:c:1/3 - 0.1xlbgm_bspoae_co-02.czi #1,47966700.205,3297.658,501.092,158177775495.109,739015064.000
44,0.1xlbgm_bspoae_co-02.czi:0001-0731:c:2/3 - 0.1xlbgm_bspoae_co-02.czi #1,47966700.205,1808.637,306.510,86754329792.281,405320889.000
45,0.1xlbgm_bspoae_co-03.czi:0001-0730:c:1/3 - 0.1xlbgm_bspoae_co-03.czi #1,39604852.854,3362.945,536.486,133188944444.839,622265903.000
46,0.1xlbgm_bspoae_co-03.czi:0001-0730:c:2/3 - 0.1xlbgm_bspoae_co-03.czi #1,39604852.854,1700.792,120.451,67359615929.296,314707744.000
47,0.1xlbgm_bspoae_co.czi:0001-0715:c:1/3 - 0.1xlbgm_bspoae_co.czi #1,42644201.470,3273.374,557.943,139590423496.567,652173957.000
